smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ncc2ccn(C)c2n1	39053618	CAPLIPOGPNGOGJ-UHFFFAOYSA-N	147.181	1.277	0	30	ADAC	
CCCc1c(C(C)C)no[n+]1[O-]	39104437	MCUBKDQVCUUNAA-UHFFFAOYSA-N	170.212	1.384	0	30	ADAC	
N[C@@H]1C[C@H]1c1nc2ccccc2[nH]1	45820861	WVDLMLSTLLGENJ-RNFRBKRXSA-N	173.219	1.378	0	30	ADAC	
CN(C)c1ccc2ccc(=O)oc2c1	100040697	JTFIEIKSYKBZHT-UHFFFAOYSA-N	189.214	1.859	0	30	ADAC	
CC[C@@H]1C[C@H](OC)O[C@H]1OC	255987500	MHQJXBOSOJIRBZ-BWZBUEFSSA-N	160.213	1.378	0	30	ADAC	
N[C@@H](c1ccccc1)C1COC1	1775937884	VZNUGGQHIQAFPE-JTQLQIEISA-N	163.220	1.333	0	30	ADAC	
Cc1ccc2c(c1)CCCS2(=O)=O	2004442	WSZWAAAVGHPCNK-UHFFFAOYSA-N	196.271	1.715	0	30	ADAC	
CCOC(=O)[C@]1(c2ccccc2)CO1	34615085	ZOOCDASTSAUTTG-LLVKDONJSA-N	192.214	1.475	0	30	ADAC	
CCO[C@H]1Nc2ccccc2O1	39089557	YJACKRBKHHUABV-SECBINFHSA-N	165.192	1.811	0	30	ADAC	
C/C=C/C1=CCC[C@H](O)[C@@H]1O	221400640	IEJAHENKPXKGMK-NGWLPCGSSA-N	154.209	1.005	0	30	ADAC	
Cc1nnc([C@]23CCC[C@H]2CNC3)o1	708057280	RYJIYNUXEREVJY-WPRPVWTQSA-N	193.250	1.019	0	30	ADAC	
O=C(O)[C@@]1(C2CCC2)CC1(F)F	1536100390	FHJWAZKWSRFJHJ-ZETCQYMHSA-N	176.162	1.897	0	30	ADAC	
c1cc2c[nH]oc2c2nncc12	100298557	XKDALCBMHMPFJD-UHFFFAOYSA-N	159.148	1.704	0	30	ADAC	
CC(=O)CCCC(C)(C)O	5196507	BDKJAPPUGXLAHC-UHFFFAOYSA-N	144.214	1.517	0	30	ADAC	
CC(C)COC[C@@H](C)OC[C@@H](C)O	33506161	IRMJKQPPTUZTNE-NXEZZACHSA-N	190.283	1.445	0	30	ADAC	
CC(C)CO[C@@H]1CCCC[C@@H]1O	33637726	QYNMQOJKJIUWRX-VHSXEESVSA-N	172.268	1.963	0	30	ADAC	
CCCC[C@@H]1O[C@H]1C(C)=O	39069157	VKRREPCLXWIPRW-YUMQZZPRSA-N	142.198	1.533	0	30	ADAC	
C[C@@]12CC[C@@H]1CC[C@@H]2N	95924552	QOJXVMAYVSLBJT-BIIVOSGPSA-N	125.215	1.524	0	30	ADAC	
CC1(C)C[C@@H](O)[C@H](N)c2ccccc21	136871747	ARLFGNRPKQKZHI-GHMZBOCLSA-N	191.274	1.729	0	30	ADAC	
COC(=O)C=Cc1cccs1	1875408605	HKVOGMDMMCLQFJ-UHFFFAOYSA-N	168.217	1.934	0	30	ADAC	
CC[C@@H]1OC[C@H]1C	2003465	ANULSIHYRBSZSF-RITPCOANSA-N	100.161	1.431	0	30	ADAC	
CC(=O)C[C@H]1C[C@@H](C)CCO1	5752002	LBOQZBRHNXPXIY-IONNQARKSA-N	156.225	1.781	0	30	ADAC	biogenic
CC1(C)[C@H]2CC[C@@](CN)(CC(=O)O)[C@H]21	38434923	QDAFOWRBCRPETR-NMLBEHRDSA-N	197.278	1.472	0	30	ADAC	
CCCCN1C[C@H](C)N[C@H](C)C1	39113759	SHKKUBZVEDHKGW-AOOOYVTPSA-N	170.300	1.469	0	30	ADAC	
C1=C2CC3=C2CC3=N1	100082701	PSVSIXCVVUZSCW-UHFFFAOYSA-N	103.124	1.429	0	30	ADAC	
COC(=O)N1C=C[C@@H]2C(C)=C[C@H]21	198654908	DLUHXHWMTRKICR-HTQZYQBOSA-N	165.192	1.527	0	30	ADAC	
CN[C@@H](c1ccccc1)C1(O)CCC1	1535645454	AAFFQRFHTHBMEG-NSHDSACASA-N	191.274	1.862	0	30	ADAC	
