smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Cc1ccc(CCN)cc1[N+](=O)[O-]	82634928	IRELZUHBQHNEED-UHFFFAOYSA-N	180.207	1.404	5	50	ADBA	
O=[N+]([O-])c1cnn([C@H]2CCCCO2)c1	224873267	YJVPCRYLRDYTCH-MRVPVSSYSA-N	197.194	1.490	5	50	ADBA	
O=Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-]	85223478	MCQDLKFHFLTMAM-UHFFFAOYSA-N	196.118	1.316	5	50	ADBA	
O=[N+]([O-])c1ccccc1[N+](=O)[O-]	4261808	IZUKQUVSCNEFMJ-UHFFFAOYSA-N	168.108	1.503	5	50	ADBA	in-vitro
O=[N+]([O-])c1ccc2c(c1)NCCN2	26896085	ZVDCYZVYRXZJQF-UHFFFAOYSA-N	179.179	1.432	5	50	ADBA	in-vitro
O=[N+]([O-])c1ccc(CCO)c(F)c1	219093988	MVVPCXHRMBDTBV-UHFFFAOYSA-N	185.154	1.269	5	50	ADBA	
C[C@H]1O[C@@H](C[N+](C)(C)C)CS1	3874574	NZAMMJKYTYHSHN-YUMQZZPRSA-N	176.305	1.171	5	50	ADBA	
CNc1ccc(F)cc1[N+](=O)[O-]	4255988	QELGNVHWXQYICY-UHFFFAOYSA-N	170.143	1.776	5	50	ADBA	in-vitro
Cc1cc2c(cc1[N+](=O)[O-])OCCO2	4300850	IOIVECGQHFGMMC-UHFFFAOYSA-N	195.174	1.674	5	50	ADBA	in-vitro
COc1ccc([N+](=O)[O-])cc1NC=O	1657063	WMFURCICLSTGEJ-UHFFFAOYSA-N	196.162	1.172	5	50	ADBA	in-vitro
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1	4522885	INYDMNPNDHRJQJ-UHFFFAOYSA-N	182.135	1.811	5	50	ADBA	
CC(=O)Nc1cc(O)ccc1[N+](=O)[O-]	25724808	AIYFITVQMIFCGJ-UHFFFAOYSA-N	196.162	1.259	5	50	ADBA	
O=[N+]([O-])c1ccccc1-n1cncn1	34412144	VRTXNVSANZBXNW-UHFFFAOYSA-N	190.162	1.176	5	50	ADBA	
Cc1nc2cc([N+](=O)[O-])ccc2[nH]1	1512399	RKRXTVLCZDPERO-UHFFFAOYSA-N	177.163	1.780	5	50	ADBA	
Nc1nsc2ccc([N+](=O)[O-])cc12	4276628	LDTCWISGJYTXDC-UHFFFAOYSA-N	195.203	1.787	5	50	ADBA	in-vitro
COc1cccc([N+](=O)[O-])c1F	143861389	WDQHQUDZNPCCAF-UHFFFAOYSA-N	171.127	1.743	5	50	ADBA	in-vitro
O=Cc1ccc(F)c([N+](=O)[O-])c1F	306976449	NQPUPKGNQZOMQA-UHFFFAOYSA-N	187.101	1.686	5	50	ADBA	
COc1cc(CO)cc([N+](=O)[O-])c1	39090162	YHVWSNFJLXOVCZ-UHFFFAOYSA-N	183.163	1.096	5	50	ADBA	
CC(=O)c1ccc(F)cc1[N+](=O)[O-]	95348205	FWVAEFFNYPYLFH-UHFFFAOYSA-N	183.138	1.937	5	50	ADBA	in-vitro
NCc1ccc([N+](=O)[O-])s1	44248521	GIUPGSUAELRKOZ-UHFFFAOYSA-N	158.182	1.115	5	50	ADBA	in-vitro
CCOC(=O)c1ncccc1[N+](=O)[O-]	90470966	IBHCPBWFCRFRTR-UHFFFAOYSA-N	196.162	1.167	5	50	ADBA	in-vitro
COc1cccc(C(=O)O)c1[N+](=O)[O-]	1596370	YMOMYSDAOXOCID-UHFFFAOYSA-N	197.146	1.302	5	50	ADBA	in-vitro
NC(=S)Nc1ccc([N+](=O)[O-])cc1	5785481	BLYAANPIHFKKMQ-UHFFFAOYSA-N	197.219	1.250	5	50	ADBA	in-vitro
CNc1ccc([N+](=O)[O-])c(C)c1	34236356	GEELCTZCKMIRAO-UHFFFAOYSA-N	166.180	1.945	5	50	ADBA	in-vitro
Cc1cc([N+](=O)[O-])cc(N)c1C	337312	RSRLXRIHUGVPDS-UHFFFAOYSA-N	166.180	1.794	5	50	ADBA	in-vitro
COc1cc([N+](=O)[O-])ccc1N	3860904	GVBHRNIWBGTNQA-UHFFFAOYSA-N	168.152	1.186	5	50	ADBA	in-vitro
CC(=O)Nc1cc(F)ccc1[N+](=O)[O-]	82254461	VQGOCZPTZPDVHL-UHFFFAOYSA-N	198.153	1.692	5	50	ADBA	
CCCn1ncc([N+](=O)[O-])c1Cl	95704791	FOPFCYXEOWILLE-UHFFFAOYSA-N	189.602	1.855	5	50	ADBA	
Nc1cc(Cl)c([N+](=O)[O-])cc1N	4283764	LOQLMWFVXRZASN-UHFFFAOYSA-N	187.586	1.413	5	50	ADBA	
COc1ncc([N+](=O)[O-])cc1C	8698125	HEDKXDCXKNQWEX-UHFFFAOYSA-N	168.152	1.307	5	50	ADBA	in-vitro
CC(C)(C)c1cc(O)ncc1[N+](=O)[O-]	675081707	JARKQMWPEFQBJS-UHFFFAOYSA-N	196.206	1.993	5	50	ADBA	
O=C(O)c1ccc([N+](=O)[O-])c(F)c1	167449	WVZBIQSKLXJFNX-UHFFFAOYSA-N	185.110	1.432	5	50	ADBA	in-vitro
COc1ccc([N+](=O)[O-])c(F)c1	12471358	PLEJCMKVJYUUBA-UHFFFAOYSA-N	171.127	1.743	5	50	ADBA	in-vitro
Cc1cc([N+](=O)[O-])cn2c(C)nnc12	95496145	GKMNUWYJEWYKIS-UHFFFAOYSA-N	192.178	1.254	5	50	ADBA	in-vitro
Nc1nc2ccccc2cc1[N+](=O)[O-]	19929643	JQUPBDWYDNZJQC-UHFFFAOYSA-N	189.174	1.725	5	50	ADBA	
CCC(CC)(C[N+](=O)[O-])C[N+](=O)[O-]	1760280	XOGZZVNGLVHBRD-UHFFFAOYSA-N	190.199	1.346	5	50	ADBA	
Cc1cc(C)c(N)c([N+](=O)[O-])c1	3877350	VSRYYONYIUUFFY-UHFFFAOYSA-N	166.180	1.794	5	50	ADBA	in-vitro
COc1cc(Cl)cnc1[N+](=O)[O-]	196375591	ZBRYRVCRBMYYDO-UHFFFAOYSA-N	188.570	1.652	5	50	ADBA	
C[N+](C)(C)CC[C@@H](O)c1ccccc1	217484	WTGPHZLWWQQFMO-GFCCVEGCSA-N	194.298	1.816	5	50	ADBA	
NCc1cc([N+](=O)[O-])c(F)cc1F	37184035	QLSXWYLTLLIMGM-UHFFFAOYSA-N	188.133	1.332	5	50	ADBA	
Cc1cc(CO)cc([N+](=O)[O-])c1	34212398	IVYZQNHRDOGBHH-UHFFFAOYSA-N	167.164	1.396	5	50	ADBA	in-vitro
CN(C)c1ccc([N+](=O)[O-])cc1F	44185294	QTXUWCWOGLFTTP-UHFFFAOYSA-N	184.170	1.800	5	50	ADBA	in-vitro
COc1cc([N+](=O)[O-])ccc1CN	39038806	LKRASRBXOKPNED-UHFFFAOYSA-N	182.179	1.062	5	50	ADBA	
[O-][N+]1(CCc2ccccn2)CCCC1	45028128	SXAJOHCKWJVTCV-UHFFFAOYSA-N	192.262	1.733	5	50	ADBA	
O=[N+]([O-])c1cnc2ccc(Cl)cn12	196349517	ZQQURVJZGGESQS-UHFFFAOYSA-N	197.581	1.896	5	50	ADBA	in-vitro
Cc1ccc(NN)cc1[N+](=O)[O-]	37291001	BCNSZJHEPCWCSJ-UHFFFAOYSA-N	167.168	1.189	5	50	ADBA	in-vitro
O=[N+]([O-])CCC1CC1	138517227	QLYALZVIIJBFNA-UHFFFAOYSA-N	115.132	1.063	5	50	ADBA	
Cc1c([N+](=O)[O-])cncc1[N+](=O)[O-]	98180701	TWSPEQRWUUBWAJ-UHFFFAOYSA-N	183.123	1.206	5	50	ADBA	in-vitro
Nc1ncc2cc([N+](=O)[O-])ccc2n1	71257108	GVIKGAWHOIFUFB-UHFFFAOYSA-N	190.162	1.120	5	50	ADBA	
CCn1cc([N+](=O)[O-])nc1C	39522	AILAZDVPNOAKOA-UHFFFAOYSA-N	155.157	1.120	5	50	ADBA	
CC(=O)Nc1ccc([N+](=O)[O-])c(C)c1	5019306	HTOMFNRBNSBPIU-UHFFFAOYSA-N	194.190	1.862	5	50	ADBA	in-vitro
C[C@@H](O)C1([N+](=O)[O-])CCCCC1	2141656	YIKCHZRYVSLLSN-SSDOTTSWSA-N	173.212	1.347	5	50	ADBA	
Nc1c([N+](=O)[O-])ccc2cccnc12	196133077	GKEHJLSFVXBUPA-UHFFFAOYSA-N	189.174	1.725	5	50	ADBA	
O=[N+]([O-])c1cccc(-c2cnc[nH]2)c1	337648	AMSITKGZVUXDQM-UHFFFAOYSA-N	189.174	1.985	5	50	ADBA	
CCOc1ccc(C=O)cc1[N+](=O)[O-]	1410778	RPJKVMCCDKVUJN-UHFFFAOYSA-N	195.174	1.806	5	50	ADBA	
CNc1ccc(C=O)cc1[N+](=O)[O-]	3886141	PUJBBHWWDARUJE-UHFFFAOYSA-N	180.163	1.449	5	50	ADBA	in-vitro
Cc1oc([N+](=O)[O-])cc1C(=O)O	1688621	NXPDJCKSBLMJII-UHFFFAOYSA-N	171.108	1.194	5	50	ADBA	in-vitro
O=[N+]([O-])c1ccc(Cl)nc1O	13301916	SCGNWULOSYKTQP-UHFFFAOYSA-N	174.543	1.349	5	50	ADBA	in-vitro
CN(C)/C=C/c1ncccc1[N+](=O)[O-]	71257750	RQSUTXCBSMADJU-FNORWQNLSA-N	193.206	1.522	5	50	ADBA	
COc1n[nH]c2cc([N+](=O)[O-])ccc12	89196042	OZYWKOVKYCUERD-UHFFFAOYSA-N	193.162	1.480	5	50	ADBA	
O=[N+]([O-])c1ccc[nH]c1=S	1648600	LKNPLDRVWHXGKZ-UHFFFAOYSA-N	156.166	1.652	5	50	ADBA	
COc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	1666717	OTMLGCBMOMNGCV-UHFFFAOYSA-N	198.134	1.512	5	50	ADBA	
O=[N+]([O-])c1ccc(Cl)nc1	2564034	BAZVFQBTJPBRTJ-UHFFFAOYSA-N	158.544	1.643	5	50	ADBA	
O=[N+]([O-])c1cc(O)c(F)c(F)c1	36533216	QEBOTENBPZWUEC-UHFFFAOYSA-N	175.090	1.579	5	50	ADBA	in-vitro
