smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCC(=C[N+](=O)[O-])CC	140796537	XOYGEDMFXWCIJS-UHFFFAOYSA-N	129.159	1.967	5	40	ADBB	
O=[N+]([O-])c1ccc([C@@H]2CCNC2)cc1	40449064	VVBJFYWZNMPFJD-SECBINFHSA-N	192.218	1.672	5	40	ADBB	
CCC[C@H](O)[C@@H](CC)[N+](=O)[O-]	1759031	CVOIQJVZYQYMBH-RQJHMYQMSA-N	161.201	1.203	5	40	ADBB	
O=C1CCc2cccc([N+](=O)[O-])c2N1	79238130	LGVAGXABCLECJN-UHFFFAOYSA-N	192.174	1.480	5	40	ADBB	
CC[S@@](=O)c1ccc([N+](=O)[O-])cc1	5599520	AFCWNANLOYZRSC-ZDUSSCGKSA-N	199.231	1.722	5	40	ADBB	
O=[N+]([O-])[C@@H]1CC[C@H](C(F)(F)F)C1	256050747	GIKSTJSXBVSSKW-CRCLSJGQSA-N	183.129	1.994	5	40	ADBB	
C[C@H](N)CCc1ccc([N+](=O)[O-])cc1	37408529	PAMYUQVUAZHEQE-QMMMGPOBSA-N	194.234	1.875	5	40	ADBB	in-vitro
Nc1ccc2[nH]ncc2c1[N+](=O)[O-]	89196606	SXCFLFBEDIPVNW-UHFFFAOYSA-N	178.151	1.053	5	40	ADBB	
O=Cc1cc([N+](=O)[O-])cc2nc[nH]c12	306899562	KBHZMRYIQQUJPP-UHFFFAOYSA-N	191.146	1.284	5	40	ADBB	
CC(C)[N@@+]1(C)[C@H]2CC[C@@H]1C[C@H](O)C2	307545440	XSZIVSVHZCXNSB-IWDIQUIJSA-N	184.303	1.527	5	40	ADBB	
CCCn1ncc([N+](=O)[O-])c1C	12398036	NHECIOSXSLUCDH-UHFFFAOYSA-N	169.184	1.510	5	40	ADBB	
O=[N+]([O-])c1cncc2cc[nH]c12	89220878	YJRIZPDKNHISKT-UHFFFAOYSA-N	163.136	1.471	5	40	ADBB	in-vitro
CC[N+]1(C)C[C@@H]2[C@H](C1)[C@@H]1CC[C@]2(C)O1	104117418	DPUZHMQOBBADGA-DQJFZVCTSA-N	196.314	1.650	5	40	ADBB	
O=c1c([N+](=O)[O-])cccn1C(F)F	242620169	PWAYYELBIFIVSF-UHFFFAOYSA-N	190.105	1.152	5	40	ADBB	
O=N[C@@H](C[N+](=O)[O-])c1ccccc1	4404390	HJVGFXVHUWSXNU-QMMMGPOBSA-N	180.163	1.771	5	40	ADBB	
O=[N+]([O-])c1cccc([C@H]2CCNC2)c1	66346889	BHQCMXVWCHNNAJ-VIFPVBQESA-N	192.218	1.672	5	40	ADBB	
Cc1cccc([N+](=O)[O-])c1C(=N)NO	228951925	YCCADPMRZOUJQA-UHFFFAOYSA-N	195.178	1.207	5	40	ADBB	
O=C(O)C=Cc1ccccc1[N+](=O)[O-]	1857775709	BBQDLDVSEDAYAA-UHFFFAOYSA-N	193.158	1.693	5	40	ADBB	
O=[N+]([O-])/C=C\c1cccc([N+](=O)[O-])c1	12368643	YOEGXQQUPVDQEE-PLNGDYQASA-N	194.146	1.842	5	40	ADBB	
C[C@@]1([N+](=O)[O-])C[C@H]2C=C[C@H]1C2	100169139	MMRAGIRATONQTI-BIIVOSGPSA-N	153.181	1.618	5	40	ADBB	
COc1cccc([N+](=O)[O-])c1[N+](=O)[O-]	4721573	OIGDISKECPMPBN-UHFFFAOYSA-N	198.134	1.512	5	40	ADBB	in-vitro
Cc1cc(C(=O)O)c([N+](=O)[O-])c(C)n1	39084293	BABXDFLBVMULOC-UHFFFAOYSA-N	196.162	1.305	5	40	ADBB	
CNc1ccc(C)c([N+](=O)[O-])c1	61700663	IYEKTRISTOHSPS-UHFFFAOYSA-N	166.180	1.945	5	40	ADBB	
C/C=C\C(=O)OCCC[N+](C)(C)C	5202929	WRHIWERDIANFLG-ALCCZGGFSA-N	186.275	1.202	5	40	ADBB	
Cc1cc(C)[n+]([O-])c(C)c1[N+](=O)[O-]	1691451	FIASDJFZIOMGLD-UHFFFAOYSA-N	182.179	1.153	5	40	ADBB	
CCn1nc(C2CC2)cc1[N+](=O)[O-]	12397795	YLBHIAAQSXIHMY-UHFFFAOYSA-N	181.195	1.689	5	40	ADBB	
O=C1Cc2cccc([N+](=O)[O-])c2C1	65731487	AZJBBXINNYUQEO-UHFFFAOYSA-N	177.159	1.263	5	40	ADBB	
O=[N+]([O-])c1ncccc1NCC1CC1	156940736	ZECCYBNFGDWWHL-UHFFFAOYSA-N	193.206	1.812	5	40	ADBB	
C[N+]12CCC(CC1)[C@@H]1C[C@@H](O)CC[C@H]12	4690061	IHNCXGJYZVYTBQ-DEZFMIAVSA-N	196.314	1.386	5	40	ADBB	
CC(=O)c1ccc(O)cc1[N+](=O)[O-]	22007557	HTNRCZLQNNBJAT-UHFFFAOYSA-N	181.147	1.503	5	40	ADBB	in-vitro
O=[N+]([O-])c1ccc2nnccc2c1	71973240	UOMGBJQTALKTRF-UHFFFAOYSA-N	175.147	1.538	5	40	ADBB	
O=Cc1cnc(Cl)cc1[N+](=O)[O-]	95761392	SCVZLIBVQKLDNO-UHFFFAOYSA-N	186.554	1.456	5	40	ADBB	
O=[N+]([O-])C(c1ccccc1)[N+](=O)[O-]	100076357	VMMLSJNPNVTYMN-UHFFFAOYSA-N	182.135	1.239	5	40	ADBB	
COc1cc(F)cc([N+](=O)[O-])c1F	263623410	HEODPVGPAUWDMN-UHFFFAOYSA-N	189.117	1.882	5	40	ADBB	
CC[N+]12CCCC[C@@H]1[C@H](CO)CCC2	4082602	LRRPUHCKSUVOBQ-LAGVYOHYSA-N	198.330	1.778	5	40	ADBB	
Cc1cn(CCF)nc1[N+](=O)[O-]	95836804	LUVFXYPOOCHJPA-UHFFFAOYSA-N	173.147	1.069	5	40	ADBB	
CC[S@](=O)c1ccc([N+](=O)[O-])cc1	5084926	AFCWNANLOYZRSC-CYBMUJFWSA-N	199.231	1.722	5	40	ADBB	
O=Cc1c[nH]c2nccc([N+](=O)[O-])c12	16678080	QHIWEPWOESELKM-UHFFFAOYSA-N	191.146	1.284	5	40	ADBB	
Nc1[nH]nc(C2CCCC2)c1[N+](=O)[O-]	96527760	ZLPRVDAXTAYAML-UHFFFAOYSA-N	196.210	1.558	5	40	ADBB	
O=[N+]([O-])c1cc2ncccc2cc1O	953126695	MTNMABSHEWEVSE-UHFFFAOYSA-N	190.158	1.849	5	40	ADBB	
NC(=O)/C=C/c1ccccc1[N+](=O)[O-]	6527286	RASLWNGTMHFPIQ-AATRIKPKSA-N	192.174	1.093	5	40	ADBB	
CCCn1ccc([N+](=O)[O-])n1	12395739	BXOIIAJTJVXWAH-UHFFFAOYSA-N	155.157	1.201	5	40	ADBB	
COc1ccc(C=C[N+](=O)[O-])cc1O	1857790833	QGCVJPGJBCRIEV-UHFFFAOYSA-N	195.174	1.648	5	40	ADBB	
O=[N+]([O-])c1cc(-c2cccnc2)[nH]n1	4353372	ZGGOWUCSFKOJBZ-UHFFFAOYSA-N	190.162	1.380	5	40	ADBB	
C[N+](C)(C)C[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1CO	4722721	AAJFWWCDOLJDSY-KXNHARMFSA-N	196.314	1.123	5	40	ADBB	
O=[N+]([O-])c1ccc([C@H](O)CF)cc1	39055006	ALYBAZKHBOZEHB-MRVPVSSYSA-N	185.154	1.598	5	40	ADBB	
CN(C)Cc1ccc([N+](=O)[O-])c(F)c1	87225961	ZVDVOTHVBXZVAO-UHFFFAOYSA-N	198.197	1.796	5	40	ADBB	
C[C@@H]1Cc2c(cccc2[N+](=O)[O-])C1=O	2033630	USCDJVHXWQMMRH-ZCFIWIBFSA-N	191.186	1.970	5	40	ADBB	
O=[N+]([O-])c1ccn(CC2CC2)n1	12396654	ATVMIAJOJCXJFJ-UHFFFAOYSA-N	167.168	1.201	5	40	ADBB	
CC(=O)c1cc(F)cc([N+](=O)[O-])c1	44672141	MSQCGYOUMZTTFH-UHFFFAOYSA-N	183.138	1.937	5	40	ADBB	
Cc1ccc([N+](=O)[O-])cc1CN	2524627	GKYCQKHYOMZCHE-UHFFFAOYSA-N	166.180	1.362	5	40	ADBB	
Cc1cc(C)[n+](C)c(C)c1[N+](=O)[O-]	515246	FDJHUXLAWAJHNM-UHFFFAOYSA-N	181.215	1.345	5	40	ADBB	
CCc1ccc([N+](=O)[O-])c(O)c1	34601476	YJIUQVPMLSGDMP-UHFFFAOYSA-N	167.164	1.863	5	40	ADBB	
O=c1c2ccccc2nc2cccnn12	62711157	NCKXIXSMBYEERZ-UHFFFAOYSA-N	197.197	1.243	5	40	ADBB	
O=[N+]([O-])c1nn(C(F)F)cc1Cl	69760130	FYVKNMBKPLJNTO-UHFFFAOYSA-N	197.528	1.840	5	40	ADBB	
CCOc1ccc([N+](=O)[O-])nc1C	39321719	OBDWATZMYGTZDJ-UHFFFAOYSA-N	182.179	1.697	5	40	ADBB	in-vitro
O=[N+]([O-])[C@@H]1C[C@@H]2C=C[C@@H]1C2	100077519	DXTVIYLGTPEMKI-FSDSQADBSA-N	139.154	1.228	5	40	ADBB	
Cc1ncc([N+](=O)[O-])n1C(C)C	104835969	FHZFIUJNLJGRBL-UHFFFAOYSA-N	169.184	1.681	5	40	ADBB	
Cc1ccc(C(=N)N)cc1[N+](=O)[O-]	38583441	XVYCKSVUARSPGL-UHFFFAOYSA-N	179.179	1.187	5	40	ADBB	
Cc1ccc(C2CNC2)cc1[N+](=O)[O-]	238479624	SKHDVKUZICMAAG-UHFFFAOYSA-N	192.218	1.590	5	40	ADBB	
C=CC(=O)OCC[N+](C)(CC)CC	2571940	HAQFTESTCOJJLU-UHFFFAOYSA-N	186.275	1.202	5	40	ADBB	
CCC(=O)c1ccc([N+](=O)[O-])cc1N	196190846	PBNFYRHQOIMYFP-UHFFFAOYSA-N	194.190	1.770	5	40	ADBB	
CC[N+]1(C)CSC(=S)N(C)C1	1571322	SWSFTIMKHSBNKH-UHFFFAOYSA-N	191.345	1.331	5	40	ADBB	
O=[N+]([O-])c1ccc(CCO)s1	96888692	KHQZCLZMYFETAF-UHFFFAOYSA-N	173.193	1.191	5	40	ADBB	
CC(=O)COc1cccc([N+](=O)[O-])c1	1749777	DTQBLCRAUDNUEP-UHFFFAOYSA-N	195.174	1.563	5	40	ADBB	
CN(C=O)c1ccccc1[N+](=O)[O-]	4018632	VUIXRQNLJPGACD-UHFFFAOYSA-N	180.163	1.187	5	40	ADBB	
CCNc1ccc([N+](=O)[O-])cc1C=O	306965018	NEAJDJOHJXDZFN-UHFFFAOYSA-N	194.190	1.839	5	40	ADBB	
O=[N+]([O-])c1ccc2c(c1)CC2	34599024	ILYYCDAVWLQXKB-UHFFFAOYSA-N	149.149	1.693	5	40	ADBB	
O=[N+]([O-])c1cc(CO)cc(F)c1F	257974803	DCQWLFLBPKQLCE-UHFFFAOYSA-N	189.117	1.365	5	40	ADBB	
C[N@@+]12CCCC[C@H]1[C@H](CCO)CCC2	1848442095	GCMCDBVXBVNWAL-AVGNSLFASA-N	198.330	1.778	5	40	ADBB	
O=[N+]([O-])c1ccc(C2=NCN=N2)cc1	4558199	YEXWYCSCFURWKB-UHFFFAOYSA-N	190.162	1.765	5	40	ADBB	
NCc1c[nH]c2cccc([N+](=O)[O-])c12	307608477	DGFIZSZEYSDPQK-UHFFFAOYSA-N	191.190	1.535	5	40	ADBB	
Cc1nscc1[N+](=O)[O-]	39325918	FOWVNQQFRSJOLM-UHFFFAOYSA-N	144.155	1.360	5	40	ADBB	
C[N+]12CCCC[C@H]1CC(=O)CC2	1662130	KTVGIGCCRRKRJG-FTNKSUMCSA-N	168.260	1.348	5	40	ADBB	
CNc1ccc(O)cc1[N+](=O)[O-]	19045846	DQCLXPYMTDGXPJ-UHFFFAOYSA-N	168.152	1.342	5	40	ADBB	
