smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[N+](C)(C)c1cccc(N)c1	403610	LMLUMAXYHUEBJH-UHFFFAOYSA-N	151.233	1.466	5	30	ADBC	
CCn1cccc1[N+](=O)[O-]	39078736	NOQHSYHYGOYCMI-UHFFFAOYSA-N	140.142	1.416	5	30	ADBC	
Cc1nc2[nH]cc(N)c2cc1[N+](=O)[O-]	16678052	ZTTVWMZUDPJIRK-UHFFFAOYSA-N	192.178	1.362	5	30	ADBC	
C[N+](C)(C)CCOc1ccccc1	1446433	VCXBSHBJVUIQHJ-UHFFFAOYSA-N	180.271	1.772	5	30	ADBC	
O=c1ccccc2nc3ccccc3n12	95923155	DRLZWJWLLHPTAP-UHFFFAOYSA-N	196.209	1.848	5	30	ADBC	
Cn1c([N+](=O)[O-])nc2ccccc21	5116713	YGVJTZIZVPQREL-UHFFFAOYSA-N	177.163	1.482	5	30	ADBC	
O=C(O)C=CC1=CCC[C@@H]([N+](=O)[O-])C1	2265326427	PEYXGOWSKLZBEO-MRVPVSSYSA-N	197.190	1.383	5	30	ADBC	
C[N@+]1([O-])CCC[C@H]1c1ccc[n+]([O-])c1	250844683	GSXMRZNVDIMTTQ-JQWIXIFHSA-N	194.234	1.099	5	30	ADBC	
O=[N+]([O-])c1cc2c(Cl)nccn2n1	2265384462	DYPUAHYRLXTQHZ-UHFFFAOYSA-N	198.569	1.291	5	30	ADBC	
O=[N+]([O-])c1cnc(Cl)c2nc[nH]c12	6740820	KEJIDRWGWWHUBD-UHFFFAOYSA-N	198.569	1.520	5	30	ADBC	
O=[N+]([O-])c1cc(F)cc2c1NCC2	1848351680	YTEBZBNKENYUSR-UHFFFAOYSA-N	182.154	1.702	5	30	ADBC	
CC(C)Oc1c[n+]([O-])ccc1[N+](=O)[O-]	39117329	MVFXFRFRZKJDQK-UHFFFAOYSA-N	198.178	1.015	5	30	ADBC	
Cc1c(O)ccc([N+](=O)[O-])c1[N+](=O)[O-]	33649248	IUOFDOCUNLJHFO-UHFFFAOYSA-N	198.134	1.517	5	30	ADBC	
O=[N+]([O-])C=Cc1cccnc1	1911537566	HIXBXAXEKNYDHU-UHFFFAOYSA-N	150.137	1.329	5	30	ADBC	
O=[N+]([O-])[C@@H](F)[C@H](O)c1ccccc1	39055011	CITFHQIDQZQOMU-HTQZYQBOSA-N	185.154	1.292	5	30	ADBC	
C[N+]1(C)C[C@@H]2CCC[C@H](C1)C2=O	214086251	IWPBJJZMIYNCCR-DTORHVGOSA-N	168.260	1.062	5	30	ADBC	
CC[N+](C#N)(CC)CC	114038020	ZDVOVXJBWWKMSA-UHFFFAOYSA-N	127.211	1.344	5	30	ADBC	
CC(=Cc1nccs1)[N+](=O)[O-]	1927725070	HWCMKPKNBNWLOB-UHFFFAOYSA-N	170.193	1.781	5	30	ADBC	
O=Cc1ccoc1[N+](=O)[O-]	39060889	ZHBVTFWXCLZIEG-UHFFFAOYSA-N	141.082	1.000	5	30	ADBC	
CC(C)(C)OCC[N+](=O)[O-]	2539592	JQXURDVBNVDPPC-UHFFFAOYSA-N	147.174	1.078	5	30	ADBC	
COc1cc(C)nc(OC)c1[N+](=O)[O-]	199192175	ZLEIAJAMYXSQEO-UHFFFAOYSA-N	198.178	1.315	5	30	ADBC	
