smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
O=[N+]([O-])c1ccn(-c2nccs2)n1	306338607	IYQXGPIXQUWMLJ-UHFFFAOYSA-N	196.191	1.237	5	20	ADBD	
CC(C)CC[C@@H](C)NCC[N+](=O)[O-]	899859611	LFHMEOJQADQQSX-SECBINFHSA-N	188.271	1.677	5	20	ADBD	
Cc1cnc(SCC[N+](=O)[O-])nc1	899881813	RGYIONNHBRSTOV-UHFFFAOYSA-N	199.235	1.154	5	20	ADBD	
COCCCCn1cnc([N+](=O)[O-])c1	610675315	VTTHLVWZYBECIK-UHFFFAOYSA-N	199.210	1.218	5	20	ADBD	
C[C@H](CO)Nc1ccccc1[N+](=O)[O-]	35205652	JATJAQVAXVUJEM-SSDOTTSWSA-N	196.206	1.388	5	20	ADBD	
CCOCCCn1cnc([N+](=O)[O-])c1	610167350	IMTKGDPZICLBBG-UHFFFAOYSA-N	199.210	1.218	5	20	ADBD	
C[N+]1(C)CC=CCC1	34572643	PLXJDVNOCSVZMA-UHFFFAOYSA-N	112.196	1.023	5	20	ADBD	
O=[N+]([O-])[C@H]1C[C@H]1c1ccccc1	39245692	XRNLPUUQLOMTGY-IUCAKERBSA-N	163.176	1.819	5	20	ADBD	
CNC(=O)c1cccc([N+](=O)[O-])c1F	147393108	NEJSBVQRQLMNFH-UHFFFAOYSA-N	198.153	1.094	5	20	ADBD	
Cc1cccc(OCCN)c1[N+](=O)[O-]	38081873	LKUIQPDJPDZDTI-UHFFFAOYSA-N	196.206	1.241	5	20	ADBD	
Cc1ccc(CN(C)N)cc1[N+](=O)[O-]	714049950	ZFMMDOVPEZZOIO-UHFFFAOYSA-N	195.222	1.209	5	20	ADBD	
C[C@H]1CC[C@H](CNCC[N+](=O)[O-])C1	905250437	YYAJDNWFIHIVSW-IUCAKERBSA-N	186.255	1.289	5	20	ADBD	
CN(CC[N+](=O)[O-])C[C@H]1CC=CCC1	1332835173	GUKXXCMZHWXYOI-JTQLQIEISA-N	198.266	1.551	5	20	ADBD	
CCc1onc(C)c1[N+](=O)[O-]	28384634	CXHZLYFXTOKNCN-UHFFFAOYSA-N	156.141	1.454	5	20	ADBD	
O=C(O)[C@H](F)c1ccc([N+](=O)[O-])cc1	108279421	VATXLUZSTWICCH-SSDOTTSWSA-N	199.137	1.690	5	20	ADBD	
CC[C@H](C)NC[C@@H](C)[N+](=O)[O-]	1898211430	GXRNRKLRBINEPT-NKWVEPMBSA-N	160.217	1.040	5	20	ADBD	
O=C(OC1CCCC1)[C@@H]1C[C@H]1[N+](=O)[O-]	840669909	NODUHPSZGRFSHB-HTQZYQBOSA-N	199.206	1.137	5	20	ADBD	
O=[N+]([O-])c1nccn1CC1=CCCC1	918388073	WOANBTQPJSDBFO-UHFFFAOYSA-N	193.206	1.902	5	20	ADBD	
CON(C)c1nc(C)ccc1[N+](=O)[O-]	774664494	XARXZSCMCGPBEC-UHFFFAOYSA-N	197.194	1.296	5	20	ADBD	
O=[N+]([O-])c1cc(CO)cc2cc[nH]c12	2386355774	IQAFGVOXENPHKV-UHFFFAOYSA-N	192.174	1.568	5	20	ADBD	
CC(C)(CNCc1ccco1)[N+](=O)[O-]	1759752	ODWRWCJRCXUQNO-UHFFFAOYSA-N	198.222	1.425	5	20	ADBD	
O=[N+]([O-])CCNc1ccccc1	39281354	MRZLZIUEPJFKRZ-UHFFFAOYSA-N	166.180	1.375	5	20	ADBD	
O=C1Cc2cc([N+](=O)[O-])cc(F)c2N1	59704745	XXFNBOCVFGQROZ-UHFFFAOYSA-N	196.137	1.229	5	20	ADBD	
Cc1c(F)cc(C(N)=O)cc1[N+](=O)[O-]	307369830	RFZJFICNJUPIJJ-UHFFFAOYSA-N	198.153	1.141	5	20	ADBD	
O=[N+]([O-])c1ncc2ccccc2c1O	144575411	BHSXBXNSIPOGDN-UHFFFAOYSA-N	190.158	1.849	5	20	ADBD	
CCOCCCn1nccc1[N+](=O)[O-]	610166970	SXOBKBGIOSCOAD-UHFFFAOYSA-N	199.210	1.218	5	20	ADBD	
CC(C)CC[C@H](C)NCC[N+](=O)[O-]	899859612	LFHMEOJQADQQSX-VIFPVBQESA-N	188.271	1.677	5	20	ADBD	
CC[C@@H](C)C[C@@H](C)NCC[N+](=O)[O-]	905140496	WBUCVHDBJLYIDX-RKDXNWHRSA-N	188.271	1.677	5	20	ADBD	
O=[N+]([O-])CCN(C1CCCC1)C1CC1	929600274	PZLALVVFIYWTSB-UHFFFAOYSA-N	198.266	1.670	5	20	ADBD	
CC1(C)CN(CC[N+](=O)[O-])C1(C)C	1333118748	PITWGZPRMCBYDB-UHFFFAOYSA-N	186.255	1.384	5	20	ADBD	
COc1cnc2c([N+](=O)[O-])c[nH]c2c1	44712957	ZUAVYXBSDJIOSC-UHFFFAOYSA-N	193.162	1.480	5	20	ADBD	
O=Cc1c[nH]c2c([N+](=O)[O-])ccnc12	44713397	PZSPYRCXYWGNBK-UHFFFAOYSA-N	191.146	1.284	5	20	ADBD	
CC(C)CNc1c([N+](=O)[O-])cnn1C	891422065	PIZMVPWJRDCRSN-UHFFFAOYSA-N	198.226	1.396	5	20	ADBD	
CC(C)Cn1cccc([N+](=O)[O-])c1=O	218185354	VUXCKGRQYDACDT-UHFFFAOYSA-N	196.206	1.413	5	20	ADBD	
Cc1ccccc1NCC[N+](=O)[O-]	687808064	XSFXNYSTANHERE-UHFFFAOYSA-N	180.207	1.684	5	20	ADBD	
C[C@@H]1CC[C@@H](CNCC[N+](=O)[O-])C1	905250438	YYAJDNWFIHIVSW-RKDXNWHRSA-N	186.255	1.289	5	20	ADBD	
CNc1cc(C)c([N+](=O)[O-])cc1N	702817327	UYOLANRVJWPGFR-UHFFFAOYSA-N	181.195	1.527	5	20	ADBD	
COC(=N)c1ccc(N)c([N+](=O)[O-])c1	39185563	KXHNBHUYSIGGEB-UHFFFAOYSA-N	195.178	1.149	5	20	ADBD	
C[C@H](O)CCc1ccccc1[N+](=O)[O-]	43656684	SBLWDLVRVYKYJV-QMMMGPOBSA-N	195.218	1.908	5	20	ADBD	
C[C@H]1CC(C)(C)CN1CC[N+](=O)[O-]	930721682	ITBQSBUOPBWOTC-QMMMGPOBSA-N	186.255	1.384	5	20	ADBD	
CCCCNc1c([N+](=O)[O-])cnn1C	891405459	CVCSEIYRDBGJHW-UHFFFAOYSA-N	198.226	1.540	5	20	ADBD	
C[C@@H]1CN(CC[N+](=O)[O-])[C@H](C)[C@H]1C	930744747	SESZAZJWBKNFDB-HRDYMLBCSA-N	186.255	1.239	5	20	ADBD	
C[C@H](CNCc1ccccc1)[N+](=O)[O-]	34588076	YTXQANBFKJBYMV-SECBINFHSA-N	194.234	1.441	5	20	ADBD	
