smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
COc1ccc(C(C)=O)c(O)c1O	1678785	VCONERRCKOKCHE-UHFFFAOYSA-N	182.175	1.309	10	50	ADCA	biogenic,in-vitro
C=Cc1ccc(O)c(O)c1	896083	FBTSUTGMWBDAAC-UHFFFAOYSA-N	136.150	1.741	10	50	ADCA	biogenic,in-vitro
[N-]=[N+]=NC(F)F	238523435	QPTUUTFPCXREEJ-UHFFFAOYSA-N	93.036	1.519	10	50	ADCA	
CN(C)CCOc1ccc(N)cc1	6678076	CCCVQPGAXZNTIL-UHFFFAOYSA-N	180.251	1.209	10	50	ADCA	in-vitro
[N-]=[N+]=NCc1cscn1	42295495	KPIFOLWKUTUNLM-UHFFFAOYSA-N	140.171	1.953	10	50	ADCA	in-vitro
CN1C(=O)/C(=C\O)c2ccccc21	100260070	AEABZVDSHJESPI-VURMDHGXSA-N	175.187	1.562	10	50	ADCA	
CC(C)NC(=O)Nc1ccc(N)cc1	20209047	QFCKYNDJEALQAV-UHFFFAOYSA-N	193.250	1.799	10	50	ADCA	in-vitro
O=c1ccc2cc(O)c(O)cc2o1	57908	ILEDWLMCKZNDJK-UHFFFAOYSA-N	178.143	1.204	10	50	ADCA	endogenous,in-man
CN(C)C(=O)NCc1ccc(N)cc1	85955977	CICKLQBBFXXGOJ-UHFFFAOYSA-N	193.250	1.040	10	50	ADCA	
CN(C)Cc1cc(F)cc(F)c1O	137749471	ZNCGGZCJSXXNDY-UHFFFAOYSA-N	187.189	1.732	10	50	ADCA	
CC(=O)c1ccc(O)c(O)c1O	156821	XIROXSOOOAZHLL-UHFFFAOYSA-N	168.148	1.006	10	50	ADCA	biogenic,in-vitro
COc1ccc(O)c(C[N+](C)(C)C)c1	34925592	CMVJJQUYCUTKEV-UHFFFAOYSA-O	196.270	1.607	10	50	ADCA	
COC(=O)c1sc(C)c(C)c1O	51943298	UKXGHKYPVCZEIW-UHFFFAOYSA-N	186.232	1.857	10	50	ADCA	
COC(=O)[C@@H](C)Cc1ccc(N)cc1	95348407	HKAZGLLLJSDUGU-QMMMGPOBSA-N	193.246	1.620	10	50	ADCA	in-vitro
C[C@@]12O[C@@H]1C(=O)c1ccccc1C2=O	1692515	NNUKDUBCRRYXDC-MNOVXSKESA-N	188.182	1.223	10	50	ADCA	
CNCc1cc(Cl)ccc1O	19776789	YABHGYPDBKOQOO-UHFFFAOYSA-N	171.627	1.765	10	50	ADCA	in-vitro
Oc1cc(Cl)cc(F)c1O	39127921	VOKZKKQJYZTNAN-UHFFFAOYSA-N	162.547	1.890	10	50	ADCA	in-vitro
Cc1cccc(CN)c1O	78100683	ADVAECBMTXWMNM-UHFFFAOYSA-N	137.182	1.159	10	50	ADCA	
Oc1cc2c(cc1O)COC2	211876389	DDSAPKDGZIVAEH-UHFFFAOYSA-N	152.149	1.128	10	50	ADCA	
CC(C)[C@H](N=[N+]=[N-])C(=O)O	94781582	PEEUITQAXNZZPU-BYPYZUCNSA-N	143.146	1.406	10	50	ADCA	in-vitro
CC1C(=O)c2ccccc2C1=O	100065739	VBTBCNRVYWGDPP-UHFFFAOYSA-N	160.172	1.702	10	50	ADCA	
CCOc1ccc(N)cc1	391847	IMPPGHMHELILKG-UHFFFAOYSA-N	137.182	1.668	10	50	ADCA	biogenic,in-vitro
COC(=O)/C=C/c1ccc(O)c(O)c1	58222	OCNYGKNIVPVPPX-HWKANZROSA-N	194.186	1.284	10	50	ADCA	biogenic,in-vitro
CC(C)=CC[C@H]1C(=O)CC(=O)C1=O	2172768	LEEAJWFMWVPGJN-ZETCQYMHSA-N	180.203	1.070	10	50	ADCA	
CC(=O)SCCCN=[N+]=[N-]	86012770	UHSOFTIGNARKFK-UHFFFAOYSA-N	159.214	1.967	10	50	ADCA	
CCN(C)Cc1ccc(N)cc1	37078226	JBOSIXUHCCUPHD-UHFFFAOYSA-N	164.252	1.721	10	50	ADCA	in-vitro
[N-]=[N+]=NCCCN1CCSCC1	42415845	MRNCXMBTNMTAAD-UHFFFAOYSA-N	186.284	1.736	10	50	ADCA	
[N-]=[N+]=NCC(=O)Nc1ccccc1	100035926	KMYXAURTWKXBMH-UHFFFAOYSA-N	176.179	1.935	10	50	ADCA	in-vitro
Cc1cc(=O)[nH]c2cc(O)c(O)cc12	3944932	YAAJFTVUZYRAIU-UHFFFAOYSA-N	191.186	1.248	10	50	ADCA	
CNCc1ccc(N(C)C)cc1	576153	DUIPUNLJRBPNMK-UHFFFAOYSA-N	164.252	1.472	10	50	ADCA	in-vitro
Cc1cc(O)c(O)cc1[N+](=O)[O-]	35645269	WLLRAKCRHPMKNA-UHFFFAOYSA-N	169.136	1.314	10	50	ADCA	biogenic,in-vitro
Nc1ccc(OC2CCNCC2)cc1	98180704	LSTGUMRVMZAHCV-UHFFFAOYSA-N	192.262	1.400	10	50	ADCA	
O=C1NC(=S)SC1=C1CCCC1	4021308	GVQMNRSQVSQAKK-UHFFFAOYSA-N	199.300	1.962	10	50	ADCA	
CCOC(=O)c1ccc(O)c(O)c1	403548	KBPUBCVJHFXPOC-UHFFFAOYSA-N	182.175	1.275	10	50	ADCA	biogenic,in-vitro
CNCc1ccc2c(c1)CCCN2C	12359627	OHBYUIJYWIIRTE-UHFFFAOYSA-N	190.290	1.788	10	50	ADCA	in-vitro
O=C(C(=O)C1CC1)c1ccccc1F	77286226	FLCZRRMMACTIMB-UHFFFAOYSA-N	192.189	1.988	10	50	ADCA	in-vitro
Nc1ccc(N2CCCCC2=O)cc1	11920100	XWDUBOSLSYWJTR-UHFFFAOYSA-N	190.246	1.786	10	50	ADCA	in-vitro
Oc1ccc(F)cc1O	2244021	NFWGQJUHSAGJBE-UHFFFAOYSA-N	128.102	1.237	10	50	ADCA	in-vitro
COC(=O)c1cc(O)cs1	39471571	FWHWSIDEKGSJBP-UHFFFAOYSA-N	158.178	1.240	10	50	ADCA	
Cc1cc(C)c(O)c(CN)c1	71463555	KJTSIUBJVRETHI-UHFFFAOYSA-N	151.209	1.468	10	50	ADCA	
O=Cc1cc(O)cs1	160609662	JZFPEXPXSLSWQW-UHFFFAOYSA-N	128.152	1.266	10	50	ADCA	
CC[C@@H]1CCC(=O)C(=O)C1	101368410	CJRJFSXOCHIINX-ZCFIWIBFSA-N	140.182	1.335	10	50	ADCA	
CC(C)=CC[C@@H]1C(=O)CC(=O)C1=O	101019320	LEEAJWFMWVPGJN-SSDOTTSWSA-N	180.203	1.070	10	50	ADCA	
Nc1ccc(CN2CC(F)(F)C2)cc1	584592917	DKLNKRMXLKIZFS-UHFFFAOYSA-N	198.216	1.720	10	50	ADCA	
CNCCc1ccc(N)cc1	38415810	NNIPOYNUFNLQMO-UHFFFAOYSA-N	150.225	1.031	10	50	ADCA	in-vitro
CN(C)Cc1c(N)cccc1O	254626	NRAASMVLNXWEEF-UHFFFAOYSA-N	166.224	1.036	10	50	ADCA	
[N-]=[N+]=NCCCCCCN	12648245	CLQMAUAPICAWGT-UHFFFAOYSA-N	142.206	1.816	10	50	ADCA	in-vitro
Cc1ccc(C)n1-c1ccn(C)n1	37471995	RXHSFTMENSSYLC-UHFFFAOYSA-N	175.235	1.828	10	50	ADCA	in-vitro
CCOC(=O)/N=N/C(=O)OCC	97056137	FAMRKDQNMBBFBR-BQYQJAHWSA-N	174.156	1.752	10	50	ADCA	in-vitro
C[C@@H](N)c1cc(O)ccc1O	21963798	CIMLGYQRAUWPCM-RXMQYKEDSA-N	153.181	1.118	10	50	ADCA	
C[C@H](N)c1cc(O)ccc1O	21963803	CIMLGYQRAUWPCM-YFKPBYRVSA-N	153.181	1.118	10	50	ADCA	
[O-][n+]1onc2ccc(Cl)cc21	155039	CVHOKJCSOAHYAJ-UHFFFAOYSA-N	170.555	1.115	10	50	ADCA	
CN[C@H](C)Cc1ccc(O)c(O)c1	6036803	NTCPGTZTPGFNOM-SSDOTTSWSA-N	181.235	1.248	10	50	ADCA	in-vitro
CCOC(=O)Cc1cccc(O)c1O	75598862	JNDUTPCEWJFDAG-UHFFFAOYSA-N	196.202	1.203	10	50	ADCA	
Nc1ccc(CCN2CCCC2)cc1	2599300	WAOKZNBDXFOXSA-UHFFFAOYSA-N	190.290	1.907	10	50	ADCA	in-vitro
Cc1ccc(O)c(CN(C)C)c1	39988300	HYVZRUQCAHFECM-UHFFFAOYSA-N	165.236	1.762	10	50	ADCA	
[N-]=[N+]=NCc1cccnc1	40457271	PPHVFMDULQHSTJ-UHFFFAOYSA-N	134.142	1.892	10	50	ADCA	in-vitro
NC(=O)/N=N/c1ccc(C(=O)O)cc1	135714840	XYVLKKQXBCNPIH-ZHACJKMWSA-N	193.162	1.547	10	50	ADCA	
