smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCc1ccc(O)c([C@@H](C)N)c1	82851559	GEFIPFRGDZLSOX-SSDOTTSWSA-N	165.236	1.974	10	40	ADCB	
N[C@H](c1cc(F)ccc1O)C1CC1	95674664	SOBCBHPUIIDULZ-JTQLQIEISA-N	181.210	1.941	10	40	ADCB	
CCc1ccc(O)c([C@@H](C)NN)c1	104556425	HOEFDORMHGAGBK-SSDOTTSWSA-N	180.251	1.479	10	40	ADCB	
Oc1cc(F)cc(F)c1O	39088256	WDTUVOYCNUIEFT-UHFFFAOYSA-N	146.092	1.376	10	40	ADCB	
CO[C@H]1CCN(c2ccc(N)cc2)C1	95908684	QIEZCJHDXZIEHV-NSHDSACASA-N	192.262	1.494	10	40	ADCB	
[N-]=[N+]=N[C@@H]1CCC[C@@H]1O	34139950	HUHPZGBAWPMUCZ-UHNVWZDZSA-N	127.147	1.210	10	40	ADCB	in-vitro
Cc1ccc([N+](=O)[O-])c(O)c1O	39133636	DPKDSDOOIONLAG-UHFFFAOYSA-N	169.136	1.314	10	40	ADCB	
COc1ccc(N(C)C)cc1N	22121913	KSJMQUBTZAZILT-UHFFFAOYSA-N	166.224	1.343	10	40	ADCB	
Nc1ccc2c(ccn2CC(=O)O)c1	40907170	UAKLWQUBWIDLME-UHFFFAOYSA-N	190.202	1.308	10	40	ADCB	
Oc1cc2c(cc1O)CCC2	75538703	MYGHRGDHIRSOKL-UHFFFAOYSA-N	150.177	1.587	10	40	ADCB	
CC(C)c1ccc(O)c(CN)c1	39104017	LWSPQBWZYQXFPB-UHFFFAOYSA-N	165.236	1.974	10	40	ADCB	
CC[C@H](NN)c1cc(C)ccc1O	104565733	FPDJBUGRJKPKDJ-VIFPVBQESA-N	180.251	1.615	10	40	ADCB	
N[C@@H](CF)c1ccc(F)cc1O	306900657	MFEHWEFHQOTRFO-ZETCQYMHSA-N	173.162	1.501	10	40	ADCB	
CCN1CCC[C@@H](N=[N+]=[N-])C1=O	958720349	UGWZQGJPMAUBOO-ZCFIWIBFSA-N	168.200	1.308	10	40	ADCB	
CN(C)c1ccc(C2=CCNC2)cc1	34865824	BAFAQAMERJAIND-UHFFFAOYSA-N	188.274	1.739	10	40	ADCB	in-vitro
N[C@@H](CC(=O)O)c1cccc(F)c1O	44197115	OWRCNFJSCXKAHC-ZETCQYMHSA-N	199.181	1.006	10	40	ADCB	
CC[C@@H](Oc1ccc(N)cc1)C(=O)O	2048193	VPLBIBRMAXTXPM-SECBINFHSA-N	195.218	1.511	10	40	ADCB	
O=C(O)/C=C/c1cccc(O)c1O	2504956	SIUKXCMDYPYCLH-SNAWJCMRSA-N	180.159	1.196	10	40	ADCB	endogenous,in-man
CCOCCNCc1ccccc1O	36228740	BJVLVSXJOGFQOZ-UHFFFAOYSA-N	195.262	1.518	10	40	ADCB	
CCN(CC)Cc1ccc(N)cc1O	1871501	CSLUXIMNUPPWDD-UHFFFAOYSA-N	194.278	1.816	10	40	ADCB	
CCCN=[N+]=[N-]	39221829	TVPPZASKIXGUJQ-UHFFFAOYSA-N	85.110	1.707	10	40	ADCB	
C[C@@H](NN)c1cc(Cl)ccc1O	104562319	MOAYYUAHJBGRCY-RXMQYKEDSA-N	186.642	1.570	10	40	ADCB	
O=C(O)C(=S)Cc1cccs1	1708390	WFXIZTRICNJBSV-UHFFFAOYSA-N	186.257	1.745	10	40	ADCB	
Nc1ccc(CCn2ccnc2)cc1	4025452	YUZWMTAPQJUKRY-UHFFFAOYSA-N	187.246	1.708	10	40	ADCB	
CCC1=[N+](CC)CCn2cccc21	4603797	FSUIUXAFWMYNGA-UHFFFAOYSA-N	177.271	1.733	10	40	ADCB	
COc1cccc(O)c1[C@H](N)CF	238382649	CDMPEHZDSDYQGG-ZCFIWIBFSA-N	185.198	1.370	10	40	ADCB	
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2=[N+]=[N-]	26441597	SXDZTOIWUJMSIH-LDWIPMOCSA-N	178.235	1.682	10	40	ADCB	
CC(C)C(=O)C(=O)c1ccc(N)cc1	1638526	QJWNFIBKLKRQAP-UHFFFAOYSA-N	191.230	1.677	10	40	ADCB	
C[C@H]1C[C@H](C)C2=NOS3=C2C1=NO3	5766891	JWELPGQDALCCAS-WHFBIAKZSA-N	198.247	1.706	10	40	ADCB	
[N-]=[N+]=NCc1ncccc1C(=O)O	253405090	RTDBCLUAIVGVLV-UHFFFAOYSA-N	178.151	1.590	10	40	ADCB	
COCCC(=O)Nc1ccc(N)cc1	22162408	FSOOQKAYNBTFDD-UHFFFAOYSA-N	194.234	1.244	10	40	ADCB	
COC(=O)C(C)(C)N=[N+]=[N-]	701523367	XRQXELZJPSQSBI-UHFFFAOYSA-N	143.146	1.248	10	40	ADCB	
CCO/C=C1\SC(=S)NC1=O	2799762	BPNCBJFIFVKUAA-ARJAWSKDSA-N	189.261	1.012	10	40	ADCB	
[N-]=[N+]=C1Cc2ccccc2C1=O	5124643	UTWQHEUIFBZBTR-UHFFFAOYSA-N	158.160	1.096	10	40	ADCB	
COC(=O)N[C@H](C)CN=[N+]=[N-]	238319613	JSLYKJSBKICCAQ-SCSAIBSYSA-N	158.161	1.041	10	40	ADCB	
C[C@@H]1SCCC1=S	95620499	VEAZROFVQBXUOU-BYPYZUCNSA-N	132.253	1.882	10	40	ADCB	
Cc1ccc(O)c2c1[C@@H](C)C[C@H]2NN	19390948	GWCIECPTRZCKJT-JGVFFNPUSA-N	192.262	1.712	10	40	ADCB	
[N-]=[N+]=NC[C@@H]1CCC(=O)O1	34617645	ROUYWNFHYZLDLL-BYPYZUCNSA-N	141.130	1.002	10	40	ADCB	in-vitro
COc1cccc(CC(=O)C(C)=O)c1	84453253	ZQSFVUUWDHZCMJ-UHFFFAOYSA-N	192.214	1.396	10	40	ADCB	
CC(=O)OCCCCN=[N+]=[N-]	96031249	TUBSQBYXMAZRNV-UHFFFAOYSA-N	157.173	1.640	10	40	ADCB	in-vitro
C[C@@]1(O)CCC[C@@H]1N=[N+]=[N-]	196693589	WTSASXGAIOZZOO-NTSWFWBYSA-N	141.174	1.600	10	40	ADCB	
[N-]=[N+]=NCC(=O)c1cc(O)cc(O)c1	199749304	JKCMJHZZEXDTQG-UHFFFAOYSA-N	193.162	1.591	10	40	ADCB	
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2=O	100004801	VNQXSTWCDUXYEZ-WKEGUHRASA-N	166.220	1.581	10	40	ADCB	in-vitro
Cc1ccc(O)c([C@H](N)CC(=O)O)c1	2586183	ABIMHPOXNOAVDA-MRVPVSSYSA-N	195.218	1.175	10	40	ADCB	
C=CON=[N+]([O-])N1CCCC1	255999344	RJWXCQACZTVGIN-UHFFFAOYSA-N	157.173	1.035	10	40	ADCB	
O=C(O)c1cc(Cl)cc(O)c1O	39220141	VRYWIHPBUFYZGM-UHFFFAOYSA-N	188.566	1.449	10	40	ADCB	
C[C@H]1C/C(=C\N=[N+]=[N-])C(=O)O1	5760223	LJGZFBZEVMHKPI-MXFQXMHVSA-N	153.141	1.516	10	40	ADCB	
CC1(C)[C@@H]2CC[C@H]1C(=O)C2=O	17887416	KXJVWNBVRRZEHH-OLQVQODUSA-N	152.193	1.191	10	40	ADCB	
Nc1ccc(OC[C@@H]2CO2)cc1	20357551	ALBWDNPLQOJPCK-SECBINFHSA-N	165.192	1.046	10	40	ADCB	
CCOc1cccc(CN)c1O	22144648	OXMFJXAQARNVFL-UHFFFAOYSA-N	167.208	1.250	10	40	ADCB	
Oc1ccc2ncccc2c1O	59774259	QMLXMGWVERUJPU-UHFFFAOYSA-N	161.160	1.646	10	40	ADCB	
CC(C)[C@@H](O)COc1ccc(N)cc1	238792598	KUFGYTQTDGFTNZ-NSHDSACASA-N	195.262	1.665	10	40	ADCB	
CC(C)CN1C(=O)CSC1=S	15014991	MNYRSVWIWIEBES-UHFFFAOYSA-N	189.305	1.503	10	40	ADCB	in-vitro
[N-]=[N+]=NCc1cc(O)cc(O)c1	35975637	IBNWXRMIYMFXNQ-UHFFFAOYSA-N	165.152	1.908	10	40	ADCB	
O=C1Nc2ccccc2/C1=C/O	100094503	ZRKPUQFDPAIVPD-ALCCZGGFSA-N	161.160	1.538	10	40	ADCB	in-vitro
CC1(C)[C@@]2(C)CC[C@@]1(C)C(=O)C2=O	100931643	QUDKFIWKJQTMJN-QWRGUYRKSA-N	180.247	1.971	10	40	ADCB	
C[C@H]1SCCC1=S	201441598	VEAZROFVQBXUOU-SCSAIBSYSA-N	132.253	1.882	10	40	ADCB	
C[C@@H]1C[C@@H](C)CN(C(=O)CN=[N+]=[N-])C1	104702098	WCVDNAGBSVHJEU-HTQZYQBOSA-N	196.254	1.801	10	40	ADCB	
COc1ccc(N(C)CCO)cc1	38614884	MPKJAXONTJGSCI-UHFFFAOYSA-N	181.235	1.124	10	40	ADCB	
COc1cc(O)c(O)cc1OC	13511222	ASYWQJACGNQHIF-UHFFFAOYSA-N	170.164	1.115	10	40	ADCB	in-vitro
