smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CC(=O)c1cscc1O	2037219	AJDBMHRSQPGEOV-UHFFFAOYSA-N	142.179	1.656	10	30	ADCC	
Cc1n[nH]c(C)c1CCN=[N+]=[N-]	6824972	VVUMWLYCDGIOJO-UHFFFAOYSA-N	165.200	1.879	10	30	ADCC	
[N-]=[N+]=N[C@H]1C[C@@]2(C(=O)O)C[C@@H]12	1772801754	YQOGUZBKESRKQL-FKZODXBYSA-N	153.141	1.160	10	30	ADCC	
CC[N+](C)(CC)CCN=[N+]=[N-]	95883560	POXCMVXHOVRKFY-UHFFFAOYSA-N	157.241	1.783	10	30	ADCC	
COC(=O)NCCc1ccc(N)cc1	21990923	SUZPKCFKQWHVRR-UHFFFAOYSA-N	194.234	1.167	10	30	ADCC	
Cc1nc2ccc(O)c(O)c2[nH]1	45821020	GXFRFJURPHUASB-UHFFFAOYSA-N	164.164	1.283	10	30	ADCC	
CN(C)/N=N/c1cccc(C(N)=O)c1	16954539	XKCXZUQTZBASRF-VAWYXSNFSA-N	192.222	1.346	10	30	ADCC	
S=C1CN2CCC1CC2	223514538	KVVHHFBFRAYBKB-UHFFFAOYSA-N	141.239	1.082	10	30	ADCC	
[N-]=[N+]=NCCCOCCCN	2265385694	FIRAGCZWXVWJIR-UHFFFAOYSA-N	158.205	1.052	10	30	ADCC	
CCOC(=O)c1conc1CN=[N+]=[N-]	1772716433	RBJORLDVUPIVKP-UHFFFAOYSA-N	196.166	1.662	10	30	ADCC	
CN(C)N=Nc1ccc(C(N)=O)cc1	256160171	NRVPCDAKWQWYRU-UHFFFAOYSA-N	192.222	1.346	10	30	ADCC	
O=C/C=S1\CNc2ccccc21	45238133	KFZJLYPBAXBPHY-UHFFFAOYSA-N	179.244	1.699	10	30	ADCC	
[N-]=[N+]=NCC1(CN)CC1	1775956132	UVTCBDINHWFZES-UHFFFAOYSA-N	126.163	1.036	10	30	ADCC	
[N-]=[N+]=N[C@@H]1C[C@@]2(C(=O)O)C[C@@H]12	1772770707	YQOGUZBKESRKQL-RPDRRWSUSA-N	153.141	1.160	10	30	ADCC	
COC(=O)[C@@]12CC[C@@H](N=[N+]=[N-])[C@@H]1C2	2265384679	ICSDREYMROXVNP-SHYZEUOFSA-N	181.195	1.638	10	30	ADCC	
[O]c1ccc(Cl)c(O)c1O	100106856	VJBILTQEZGDOEF-UHFFFAOYSA-N	159.548	1.895	10	30	ADCC	
[N-]=[N+]=N[C@H](Cc1ccccc1)C(=O)O	103619674	DIFYSVZHVRAXAV-MRVPVSSYSA-N	191.190	1.993	10	30	ADCC	in-vitro
O=C1CSC(=S)N1CC1CC1	1046008	DYFVGUYFEKQDTA-UHFFFAOYSA-N	187.289	1.257	10	30	ADCC	
CC(C)(C)[C@@H]1C[C@H](N=[N+]=[N-])C(=O)N1	1772716612	IYWXFRVPIGPBIW-WDSKDSINSA-N	182.227	1.600	10	30	ADCC	
CC(C)(C)[C@H]1C[C@H](N=[N+]=[N-])C(=O)N1	1772716609	IYWXFRVPIGPBIW-NTSWFWBYSA-N	182.227	1.600	10	30	ADCC	
