smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
N[C@H](CO)c1c(O)cccc1Cl	72197602	FHGLTDXAHVYWPL-ZCFIWIBFSA-N	187.626	1.038	10	20	ADCD	
Cc1ccc(CN(C)CCO)c(O)c1	876526196	URTKXTLCWODQAG-UHFFFAOYSA-N	195.262	1.125	10	20	ADCD	
Cc1cc(O)c([C@H](N)CO)cc1C	72197442	FIZWXMFHROMVQU-SECBINFHSA-N	181.235	1.001	10	20	ADCD	
C[C@H](O)CSc1nccs1	40677103	XIUAUHIORMBMNJ-YFKPBYRVSA-N	175.278	1.616	10	20	ADCD	
CN1CCc2cc(/C=C/CN)ccc21	69049819	NOGDDXRRYNZWAZ-NSCUHMNNSA-N	188.274	1.651	10	20	ADCD	
CC1(NC(=O)c2cc(O)cs2)CC1	306220449	OKFDERFRPPTIRP-UHFFFAOYSA-N	197.259	1.736	10	20	ADCD	
O=C1CC(=O)c2c(F)cccc21	139869489	UFFXQKZAZJAMCH-UHFFFAOYSA-N	164.135	1.595	10	20	ADCD	
[N-]=[N+]=NCCC1OCCCO1	85706209	KXUSMHTZJXLBHZ-UHFFFAOYSA-N	157.173	1.450	10	20	ADCD	
Oc1ccc(Cl)c(F)c1O	13511332	VDBJGTZFLZEBRZ-UHFFFAOYSA-N	162.547	1.890	10	20	ADCD	
COc1ccc([C@H]2CCCN2)c(O)c1	72201650	ZKIPVWCABMIZDR-SNVBAGLBSA-N	193.246	1.825	10	20	ADCD	
Cc1ccc(O)c(CN(C)CCO)c1	127928678	UDFWULNSHDYRFN-UHFFFAOYSA-N	195.262	1.125	10	20	ADCD	
CCCN1CC(N=[N+]=[N-])C1	409422098	ARDFLTHEEODWNR-UHFFFAOYSA-N	140.190	1.391	10	20	ADCD	
COc1ccccc1C(=O)C(C)=O	34288299	JYWSIGWICALXFL-UHFFFAOYSA-N	178.187	1.467	10	20	ADCD	
COc1cccc(CNCCF)c1O	388668953	FUHBTSIDUXZLQO-UHFFFAOYSA-N	199.225	1.460	10	20	ADCD	
[N-]=[N+]=NC1CN(Cc2cccnc2)C1	409424624	XBSCZWKXUMRZJP-UHFFFAOYSA-N	189.222	1.576	10	20	ADCD	
C/C=C/C(=O)NCc1ccccc1O	82275372	WJEQDHKLEPOBHY-GORDUTHDSA-N	191.230	1.585	10	20	ADCD	
[N-]=[N+]=NCC(=O)Nc1cccnc1	585142701	AONDBSCUDNSBNV-UHFFFAOYSA-N	177.167	1.330	10	20	ADCD	
Cc1cccc(O)c1CNC[C@H](C)O	877119819	AMDQSTUCAMXKKK-VIFPVBQESA-N	195.262	1.171	10	20	ADCD	
[N-]=[N+]=NCCN1CC[C@H]2COC[C@@H]2C1	409433463	YIHCKPWTOQOFNO-IUCAKERBSA-N	196.254	1.265	10	20	ADCD	
CC(=O)CN(C)Cc1ccccc1O	878242794	VULONLPNQAPTPZ-UHFFFAOYSA-N	193.246	1.413	10	20	ADCD	
CC(C)CN1CC(N=[N+]=[N-])C1	409423874	QUAFNEPBRQLCDP-UHFFFAOYSA-N	154.217	1.637	10	20	ADCD	
CC(C)C(=O)N(C)c1ccc(N)cc1	34939063	HZXHRTLROOYGMC-UHFFFAOYSA-N	192.262	1.888	10	20	ADCD	
[N-]=[N+]=NC1CN(C2CCCC2)C1	238588270	BYHTWIMHPRUIKN-UHFFFAOYSA-N	166.228	1.924	10	20	ADCD	
CNC(=O)c1ccc(CN=[N+]=[N-])o1	1537962445	JDWFSLCLONXVQW-UHFFFAOYSA-N	180.167	1.450	10	20	ADCD	
CCC(CC)C(=O)N1CC(N=[N+]=[N-])C1	409423307	NIALIUYNLXTMSR-UHFFFAOYSA-N	196.254	1.944	10	20	ADCD	
Nc1ccc(NC(=O)[C@@H]2C[C@@H]2F)cc1	1341226085	OJAWYVYJCVCVKT-BDAKNGLRSA-N	194.209	1.565	10	20	ADCD	
O=C(O)c1cscc1O	39241153	FJQUCWCUMQUSGS-UHFFFAOYSA-N	144.151	1.152	10	20	ADCD	
[N-]=[N+]=NCC(=O)NCc1cccs1	104701984	YFMLIVRCKHKKDM-UHFFFAOYSA-N	196.235	1.675	10	20	ADCD	
COc1ccc(CNCCN)cc1C	37712990	VEXNTBPPLRYDPX-UHFFFAOYSA-N	194.278	1.052	10	20	ADCD	
CC(=O)c1cc(Cl)cc(O)c1O	200458251	WSWUMNZAZBLMNM-UHFFFAOYSA-N	186.594	1.954	10	20	ADCD	
COC[C@H]1CCCN(CCN=[N+]=[N-])C1	234732060	UMFOUNUIWULHLJ-VIFPVBQESA-N	198.270	1.655	10	20	ADCD	
CC(C)(F)C(=O)Nc1ccc(N)cc1	306914710	SDLRQMAWJNNUAI-UHFFFAOYSA-N	196.225	1.955	10	20	ADCD	
[N-]=[N+]=NCC(=O)C(F)(F)F	1537962106	VNIWDMUCKQVHDR-UHFFFAOYSA-N	153.063	1.428	10	20	ADCD	
Cc1ccc(O)c(CN[C@H](C)CN)c1	841059889	LBENTMMDYFEIQB-SECBINFHSA-N	194.278	1.137	10	20	ADCD	
CC(C)(C)[C@H]1CCC(=O)C(=O)C1	129192257	CFDWAORHYPUEFT-ZETCQYMHSA-N	168.236	1.971	10	20	ADCD	
O=C1Cc2cc(Cl)ccc2C1=O	90493772	SWHCHEDYHQTQNZ-UHFFFAOYSA-N	180.590	1.648	10	20	ADCD	
Cc1ccc(CNCCCO)c(O)c1	83342298	QYYZRGMQIJOWRV-UHFFFAOYSA-N	195.262	1.173	10	20	ADCD	
CC[C@H](C)CC(=O)N1CC(N=[N+]=[N-])C1	409423503	OTXXFKQIPRRTSL-ZETCQYMHSA-N	196.254	1.944	10	20	ADCD	
C[C@@H]1CCN1C(=O)c1cc(O)cs1	881480527	WGAODJPXBKIIHT-ZCFIWIBFSA-N	197.259	1.688	10	20	ADCD	
OCCSc1nccs1	35083109	HPQNJCRTBQJJPT-UHFFFAOYSA-N	161.251	1.228	10	20	ADCD	
Nc1sccc1C=O	38433635	XDCLULRDALXFAX-UHFFFAOYSA-N	127.168	1.143	10	20	ADCD	
C[C@@H]1OCc2cc(O)c(O)cc2C1=O	95563415	VDYJRLUMSYOXPS-YFKPBYRVSA-N	194.186	1.199	10	20	ADCD	
CC(C)(C)[C@@H]1CCC(=O)C(=O)C1	129192019	CFDWAORHYPUEFT-SSDOTTSWSA-N	168.236	1.971	10	20	ADCD	
COCCCN(C)c1ccc(N)cc1	37753918	AUBNOCPLCLWSPI-UHFFFAOYSA-N	194.278	1.742	10	20	ADCD	
[N-]=[N+]=NC1CN(C[C@H]2CCCO2)C1	409423069	LEWWCEDAUUNHAJ-MRVPVSSYSA-N	182.227	1.160	10	20	ADCD	
CC(C)(C)OC(=O)[n+]1ccccc1	238101791	YMDMLHNWPBWYCH-UHFFFAOYSA-N	180.227	1.757	10	20	ADCD	
CNCCCN(C)c1ccc(N)cc1	83824198	NZDLNTOZTDWMEF-UHFFFAOYSA-N	193.294	1.315	10	20	ADCD	
Cc1cc(N)n(CCN=[N+]=[N-])n1	409438542	LTXLHMMWXULAON-UHFFFAOYSA-N	166.188	1.084	10	20	ADCD	
Cc1ccc(CN[C@H](C)CO)c(O)c1	876964765	PGYOXSFSAQFPFE-SECBINFHSA-N	195.262	1.171	10	20	ADCD	
CCCC(=O)N1CC(N=[N+]=[N-])C1	409424306	UIZFBCYPIYQTNW-UHFFFAOYSA-N	168.200	1.308	10	20	ADCD	
Oc1ccc(S)cc1O	26479313	HTNBBGMFIFDMFW-UHFFFAOYSA-N	142.179	1.387	10	20	ADCD	
CCOC(=O)c1ccc(C)c(O)c1O	222464806	SBXBTBAHCOZULI-UHFFFAOYSA-N	196.202	1.583	10	20	ADCD	
CCC(=O)NCc1ccccc1O	39136836	GINPCYBPPANOFO-UHFFFAOYSA-N	179.219	1.418	10	20	ADCD	
Nc1ccc(N2C[C@H]3C[C@H]2CO3)cc1	249994114	NEJJTLIPQFAHJX-WDEREUQCSA-N	190.246	1.246	10	20	ADCD	
C[C@H](O)[C@H]1CCCN(CCN=[N+]=[N-])C1	409431818	SYPKUHCVZALIBJ-IUCAKERBSA-N	198.270	1.390	10	20	ADCD	
C[C@@H](NCCO)c1c(O)cccc1F	886491732	OCYAIWZLYPFUGP-SSDOTTSWSA-N	199.225	1.174	10	20	ADCD	
N[C@@H](CO)c1cccc(Cl)c1O	72197607	PDKJEZHXIVATRZ-ZETCQYMHSA-N	187.626	1.038	10	20	ADCD	
CCOC[C@H]1CCCN1CCN=[N+]=[N-]	409433317	XVAMMZXERAECQV-SECBINFHSA-N	198.270	1.798	10	20	ADCD	
COC(=O)/C(=C/O)c1ccccc1F	722628503	SGTXCUWCLPCMBB-SOFGYWHQSA-N	196.177	1.898	10	20	ADCD	
CCc1cccc(CN)c1O	82631794	DLLKNJPRJMATDR-UHFFFAOYSA-N	151.209	1.413	10	20	ADCD	
[N-]=[N+]=NCCN1CC[C@@H]2COC[C@@H]2C1	409433459	YIHCKPWTOQOFNO-BDAKNGLRSA-N	196.254	1.265	10	20	ADCD	
C[C@H](N)CN(C)Cc1ccccc1O	308518550	WJFUEFGPWXHIMG-VIFPVBQESA-N	194.278	1.171	10	20	ADCD	
Cc1cccc(O)c1CNCCF	877496291	PSVRVTHQIHWCBP-UHFFFAOYSA-N	183.226	1.760	10	20	ADCD	
Nc1ccc(COCCCCO)cc1	43444938	GMJLYMBCCARIGL-UHFFFAOYSA-N	195.262	1.558	10	20	ADCD	
Cc1cccc(CN[C@H](C)CN)c1O	841060153	RBVSOGPSHOPGKS-SECBINFHSA-N	194.278	1.137	10	20	ADCD	
Oc1ccccc1CN1CC2(CC2)C1	824533716	KWLYKMYCBAHICL-UHFFFAOYSA-N	189.258	1.988	10	20	ADCD	
C[C@@H]1C[C@H]1C(=O)Nc1ccc(N)cc1	21954085	IAFIJTJUKGSRKY-GMSGAONNSA-N	190.246	1.863	10	20	ADCD	
CON(C)Cc1ccc(N(C)C)cc1	785637728	SJLBTMCRRIQPKX-UHFFFAOYSA-N	194.278	1.746	10	20	ADCD	
CC[C@@H](C)NC(=O)c1cc(O)cs1	113232925	MRSONAWWCGMITB-ZCFIWIBFSA-N	199.275	1.982	10	20	ADCD	
Cc1cccc(O)c1CN(C)CCO	876526016	QIPPCOPYWVYZCV-UHFFFAOYSA-N	195.262	1.125	10	20	ADCD	
Nc1ccc(N[C@H]2CCCNC2)cc1	205453427	OIQNGWBOULPKDR-NSHDSACASA-N	191.278	1.433	10	20	ADCD	
OCCCSc1nccs1	40677102	QNJZFCQJBIHASV-UHFFFAOYSA-N	175.278	1.618	10	20	ADCD	
Nc1ccc(N2C[C@H]3C[C@@H]3C2)cc1	107124950	DCCKIEWDIIHBRY-RKDXNWHRSA-N	174.247	1.725	10	20	ADCD	
Cc1cccc(CNCCF)c1O	308192326	OPOINLZWUACMFW-UHFFFAOYSA-N	183.226	1.760	10	20	ADCD	
C[C@@H](CCN)NCc1ccc(N)cc1	1334753935	JEQBRQFMGGMVJB-VIFPVBQESA-N	193.294	1.096	10	20	ADCD	
O=C(NC1CCC1)c1cc(O)cs1	307726955	CSHINJDGXUPDEZ-UHFFFAOYSA-N	197.259	1.736	10	20	ADCD	
CN(C)c1ccc(/C=C/CN)cc1	70184781	MZJSWIGPHKFUEY-ONEGZZNKSA-N	176.263	1.725	10	20	ADCD	
c1csc(SC2COC2)n1	307751906	PROIUCNRCCRKNH-UHFFFAOYSA-N	173.262	1.634	10	20	ADCD	
C[C@@H](CN)CNCc1ccccc1O	308560773	FCKKVHIORDSHNL-VIFPVBQESA-N	194.278	1.077	10	20	ADCD	
CC[C@H]1CN(CCN=[N+]=[N-])CC[C@H]1O	409434889	RBDMNVATDNEJET-DTWKUNHWSA-N	198.270	1.390	10	20	ADCD	
C[C@H](N[C@H](C)CN)c1ccccc1O	817965945	FGGPQKARMSRRGX-BDAKNGLRSA-N	194.278	1.390	10	20	ADCD	
[N-]=[N+]=NC[C@@H]1CCNCC1(F)F	1912189717	WHNVKSZWEQTDDB-YFKPBYRVSA-N	176.170	1.542	10	20	ADCD	
COc1ccc2c(c1)C(=O)CCC2=O	59222430	IQNDCDUKSUDCPM-UHFFFAOYSA-N	190.198	1.854	10	20	ADCD	
Nc1ccccc1NC1CCOCC1	36319177	TUFNKKKFNULMSX-UHFFFAOYSA-N	192.262	1.860	10	20	ADCD	
[N-]=[N+]=NCCN1CC[C@H](F)C1	409422254	CHOFFMAXCQBPJK-LURJTMIESA-N	158.180	1.341	10	20	ADCD	
CC(C)(N)CNCc1ccccc1O	389249504	BZHOUWPQZFRPIT-UHFFFAOYSA-N	194.278	1.219	10	20	ADCD	
