smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
OCC/N=C(/S)c1ccccc1	13658970	SUCDFYMCVUIDHV-UHFFFAOYSA-N	181.260	1.355	30	50	ADEA	
C=CC[C@H](N)c1ccncc1	42395143	OHUCTOFHNCFEPP-VIFPVBQESA-N	148.209	1.658	30	50	ADEA	in-vitro
N#Cc1ccc(OC(F)F)cn1	47203189	KILBGFKJJZHXOO-UHFFFAOYSA-N	170.118	1.555	30	50	ADEA	in-vitro
COc1cc(Cl)c(C#N)cn1	79066655	VEUHIOALPSVHJH-UHFFFAOYSA-N	168.583	1.615	30	50	ADEA	in-vitro
C[C@@H]1CCC=CC1=O	105331694	NNNOHBBOFIFCCL-ZCFIWIBFSA-N	110.156	1.542	30	50	ADEA	
C=C(CN)B1OC(C)(C)C(C)(C)O1	222165439	PSAOJGDYIPYFIK-UHFFFAOYSA-N	183.060	1.133	30	50	ADEA	
C[C@@]1(Br)C[C@@H]1C=O	238472396	BDOOUUOWYSFVTA-RFZPGFLSSA-N	163.014	1.359	30	50	ADEA	in-vitro
C/C(=N\O)[C@@H]1C[C@H](C(=O)O)C1(C)C	306873962	YOIRZJVLRCWQHH-GQDDYNPYSA-N	185.223	1.583	30	50	ADEA	
C1=C[C@@H]2O[C@H]2CCCC1	1711485	TWFJMNZBFSTTNG-YUMQZZPRSA-N	124.183	1.884	30	50	ADEA	
Cc1nn(CCC#N)c(C)c1[N+](=O)[O-]	2534803	BUUJWGBLSFNDPS-UHFFFAOYSA-N	194.194	1.322	30	50	ADEA	
O=C(CS)OC1CCCCC1	5188836	DHQYDHVETSVMKQ-UHFFFAOYSA-N	174.265	1.792	30	50	ADEA	in-vitro
CC[C@H]1OC(C)=C(O)C1=O	5819503	GWCRPYGYVRXVLI-RXMQYKEDSA-N	142.154	1.154	30	50	ADEA	endogenous,in-man
N#Cc1ccnc2[nH]cc(C=O)c12	16678083	VNBJUECAQIIQLQ-UHFFFAOYSA-N	171.159	1.247	30	50	ADEA	
N#Cc1ncc(C(F)(F)F)cc1N	47212309	UXJIIIGYZOHJGY-UHFFFAOYSA-N	187.124	1.554	30	50	ADEA	in-vitro
N#Cc1cccc2cc(C(=O)O)[nH]c12	59193657	KAEWOSJMEVABST-UHFFFAOYSA-N	186.170	1.738	30	50	ADEA	
N#Cc1cnc(C2CCCC2)nc1N	70060579	KBUKHIRWVJHHTA-UHFFFAOYSA-N	188.234	1.588	30	50	ADEA	in-vitro
