smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCC[C@H](CO)ON=C(C)C	5554505	SVLNPLWAUHBJMV-SECBINFHSA-N	173.256	1.950	30	40	ADEB	
C=C(C(C)=O)[C@@H](O)c1ccccc1	8689810	JOZQRTNMSJPYQB-LLVKDONJSA-N	176.215	1.865	30	40	ADEB	
Cc1ccccc1C[C@@H](C#N)C(=O)O	19730222	UQBQUSZVVRQDAU-JTQLQIEISA-N	189.214	1.762	30	40	ADEB	
N#Cc1ccc(S)c(C#N)c1	34368076	ZNNKUORNMBXZLO-UHFFFAOYSA-N	160.201	1.719	30	40	ADEB	
N#Cc1cccc([C@H]2C[C@@H]2C(=O)O)c1	37380734	JEPNFLRZCVLACW-ZJUUUORDSA-N	187.198	1.746	30	40	ADEB	
Cc1nc2c(s1)/C(=N/O)CCC2	96319603	MJPSCVJRLYCMOA-JXMROGBWSA-N	182.248	1.966	30	40	ADEB	
N#Cc1ccc([N+](=O)[O-])cc1C(=O)O	132949542	IAOLMNXGRNAFKN-UHFFFAOYSA-N	192.130	1.165	30	40	ADEB	
C#CCCCN=[N+]=[N-]	160977956	NFWJNKALVVZULO-UHFFFAOYSA-N	109.132	1.710	30	40	ADEB	
C#Cc1ccc(C=O)c(O)c1	238727591	SFXZYVWOUZAKRL-UHFFFAOYSA-N	146.145	1.186	30	40	ADEB	
C[C@H](O)CC1(C=O)CCC1	307291904	CKVWSALJHUUARE-ZETCQYMHSA-N	142.198	1.127	30	40	ADEB	
N#CC1(C(F)F)CC1	409432281	NFEVFYZJJLBGDV-UHFFFAOYSA-N	117.098	1.555	30	40	ADEB	
N#Cc1ccc(N[C@H]2CC[C@@H]2O)cc1	704076309	OJPLMXOSBJGJER-QWRGUYRKSA-N	188.230	1.493	30	40	ADEB	
CC1=CC(=O)[C@@]23C[C@@]12C(=O)C=C3C	1400261	UTUNACIZHNSADK-QWRGUYRKSA-N	174.199	1.421	30	40	ADEB	
CSC(=S)NN=C(C)C	5430881	MKPQGXBEOHAILQ-UHFFFAOYSA-N	162.283	1.620	30	40	ADEB	
CC(C)(C)COC[C@@H]1CO1	34613433	LUKZQXIIABXJOH-SSDOTTSWSA-N	144.214	1.448	30	40	ADEB	
C#CC(C)(C)OC(=O)NC(C)(C)C	39094474	FFZYPWJWYQFZQW-UHFFFAOYSA-N	183.251	1.923	30	40	ADEB	
CO[C@@H]1CCCC[C@@H]1S	59439812	YEIOZZPFVPOPJQ-RQJHMYQMSA-N	146.255	1.874	30	40	ADEB	
CCC[C@H](C)C#CC(=O)O	70835834	WBVNDOOQDHCHOG-ZETCQYMHSA-N	140.182	1.511	30	40	ADEB	
N#Cc1ccnn1C(F)F	72209442	ODFCCUHCWNRWEL-UHFFFAOYSA-N	143.096	1.150	30	40	ADEB	
C#C[C@@]1(O)CCCCC1(C)C	86849034	SCLXPEZUBRTHMU-SNVBAGLBSA-N	152.237	1.951	30	40	ADEB	
Cc1ccnc(N=[N+]=[N-])n1	87667264	GYKJYQABXCUVRR-UHFFFAOYSA-N	135.130	1.727	30	40	ADEB	
N#Cc1ccc2cc(N)ncc2c1	91692356	CZGFHWRSZXGBCU-UHFFFAOYSA-N	169.187	1.689	30	40	ADEB	
OCC#Cc1ccc(Cl)c(F)c1	95633353	NRNLDBGWFCUUMW-UHFFFAOYSA-N	184.597	1.823	30	40	ADEB	
O=[S@@]1CC/C(=N\O)c2ccccc21	96901453	AJBLNDZWBXQAKI-FROQITRMSA-N	195.243	1.376	30	40	ADEB	
O=CCC(=O)c1cccs1	101839355	LQTQQIDDCWXQRO-UHFFFAOYSA-N	154.190	1.520	30	40	ADEB	
CCOc1cc(C#N)ccc1N	130518354	RPGKLFKJVKPPAA-UHFFFAOYSA-N	162.192	1.539	30	40	ADEB	
C=C(C)C(=O)[C@H]1C=C[C@H](N)C1	135421915	GDCCTJBWPQLIPC-YUMQZZPRSA-N	151.209	1.035	30	40	ADEB	
C=CC(=O)[C@H](N)c1cccs1	135430734	GCQFYICRNPYRFZ-QMMMGPOBSA-N	167.233	1.503	30	40	ADEB	
CC#CCC[C@H]1CCC[C@H]1O	161542127	QLZVJBPWRSHWQS-VHSXEESVSA-N	152.237	1.951	30	40	ADEB	
O=C(NO)[C@@H]1CCc2ccccc21	306242752	SQAQOMVWJXJCQU-SECBINFHSA-N	177.203	1.222	30	40	ADEB	
O=CC1(C[C@@H]2CCC[C@@H](O)C2)CC1	306378690	TZNNHWGGTDPFAL-NXEZZACHSA-N	182.263	1.907	30	40	ADEB	
C#CCN[C]1CCc2ccccc21	1560407582	TZFJNLTYWWWHPW-UHFFFAOYSA-N	170.235	1.736	30	40	ADEB	
CC(C)C(C#N)(C(=O)O)C(C)C	1599864	UGKAGYIWOQXPKP-UHFFFAOYSA-N	169.224	1.893	30	40	ADEB	
Cc1cc(C#N)c2cn[nH]c2c1	14984735	GLSVXDJYZLOUMW-UHFFFAOYSA-N	157.176	1.743	30	40	ADEB	in-vitro
COc1cccc(CC#N)c1[N+](=O)[O-]	34115967	PMSKALOOVJMDLN-UHFFFAOYSA-N	192.174	1.669	30	40	ADEB	
CCc1nc2ccc(C#N)cn2n1	82750144	LEXLOTUYUNODGH-UHFFFAOYSA-N	172.191	1.163	30	40	ADEB	
N/C(=N/O)c1cnc2ccsc2c1	88040271	UTDIFFDASNDTHB-UHFFFAOYSA-N	193.231	1.391	30	40	ADEB	
C1[C@H]2C[C@@H]3[C@@H]1[C@H]1C[S@+]3C[C@H]21	104057092	MECTUOWHJKYWHC-JAJCVEGXSA-N	153.270	1.273	30	40	ADEB	
CCCN1CCC[C@@H]1C=O	115792101	CTXUTPBKZYVRML-MRVPVSSYSA-N	141.214	1.060	30	40	ADEB	
CC[C@@]1(C(C)C)O[C@@H]1C#N	306305557	DNQDYRHDMLCDTQ-SFYZADRCSA-N	139.198	1.714	30	40	ADEB	
CC[C@](C)(C=O)[C@@H]1CCC[C@@H]1O	306321297	BPXSXGAEPMKRBA-KXUCPTDWSA-N	170.252	1.763	30	40	ADEB	
O=C[C@]1([C@H]2CCCOC2)CCOC1	306475663	XIEWCHYWIQYTHB-VHSXEESVSA-N	184.235	1.019	30	40	ADEB	
N#C[C@H]1O[C@]12CC1CCC2CC1	307067502	LCTVEUZJAIWKFR-BMNUFHGDSA-N	163.220	1.858	30	40	ADEB	
Cc1ccc(/C=N/n2cnnc2)cc1	244657	LDUDOXLNNOIDQQ-AWNIVKPZSA-N	186.218	1.469	30	40	ADEB	
CCN[C@H](C#N)c1ccc(OC)cc1	20173427	BWJQIBKXUOOYOO-LLVKDONJSA-N	190.246	1.869	30	40	ADEB	
Cc1cc(CS)no1	34616696	INDASJJIKPECHA-UHFFFAOYSA-N	129.184	1.413	30	40	ADEB	
Cc1cc(C)c(C#CCO)cc1C	83138227	UIAOBJSECKTKOA-UHFFFAOYSA-N	174.243	1.956	30	40	ADEB	
CC1=C/C(=N\C#N)C(C)=C/C1=N\C#N	101386208	GJCNOUWCQVLIEI-UTLPMFLDSA-N	184.202	1.737	30	40	ADEB	
CC#Cc1ccc(C(=O)O)cn1	114099743	KOCVLAGDUZQSML-UHFFFAOYSA-N	161.160	1.151	30	40	ADEB	
C#CCOC(=O)c1ccc2cc[nH]c2c1	216862883	LVNNAJJITAOPII-UHFFFAOYSA-N	199.209	1.958	30	40	ADEB	
COC(=O)c1ccc(CC#N)cc1F	238386765	DWAUZHVHYNTIBR-UHFFFAOYSA-N	193.177	1.678	30	40	ADEB	
C=CCn1c(O)nnc1C1CCCC1	585651568	QIGFVVMVIGORNW-UHFFFAOYSA-N	193.250	1.827	30	40	ADEB	
F[C]1C=CC(=C2CO2)C=C1	1560407673	NXAAZAQTOVELTA-UHFFFAOYSA-N	137.133	1.898	30	40	ADEB	
C=C(C)C(=O)Oc1cccccc1=O	1724150	BHKQCZGFIQOMFC-UHFFFAOYSA-N	190.198	1.528	30	40	ADEB	
N#Cc1ccnn1CC(F)F	72338261	ISTFJCJXVVTOMT-UHFFFAOYSA-N	157.123	1.020	30	40	ADEB	
N#C[C@@H]1CCN2CCC[C@H]2C1	156656030	FMJFHKPQFBKCKZ-BDAKNGLRSA-N	150.225	1.384	30	40	ADEB	
ON=Cc1cnc2ccccn12	242463484	DCWZJRTZWBDVHB-UHFFFAOYSA-N	161.164	1.142	30	40	ADEB	
COc1cc(C=NO)cc(OC)c1O	254519415	HWNAFGCZZCDVBB-UHFFFAOYSA-N	197.190	1.218	30	40	ADEB	biogenic
COC[C@@]1(c2ccccc2)O[C@@H]1C#N	306675335	SGXYZZWXYQTGEN-MNOVXSKESA-N	189.214	1.451	30	40	ADEB	
C[C@@H]1CCC[C@]12O[C@H]2C#N	307383933	FHXVHRDINHJVJZ-CSMHCCOUSA-N	137.182	1.468	30	40	ADEB	
C=C1CC(Br)(CO)C1	2383324083	ZNAFOEKASCMUGZ-UHFFFAOYSA-N	177.041	1.462	30	40	ADEB	
N#CCc1ccc(N)c(F)c1	2243166	UKKWYLDRWNSBKL-UHFFFAOYSA-N	150.156	1.474	30	40	ADEB	
C=C1CC(=O)N(c2ccccc2)C1=O	39398073	JLLCBHHFPWVBQP-UHFFFAOYSA-N	187.198	1.506	30	40	ADEB	
CC(C)SCC=O	43803993	ATGYXQXFCDNCEM-UHFFFAOYSA-N	118.201	1.327	30	40	ADEB	
