smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
C[C@@H]1CC[C@@](C)(C=O)C1=O	34365062	JFVVUALTOMCKKH-SVRRBLITSA-N	140.182	1.191	30	30	ADEC	
Cc1noc(N)c1SCC#N	39113324	VBLOCMWTMLIJAJ-UHFFFAOYSA-N	169.209	1.181	30	30	ADEC	
C=CCC(C)(C)CNC(=O)OC	39139216	OLGCWXFMMOCNEZ-UHFFFAOYSA-N	171.240	1.945	30	30	ADEC	
CON=CCSc1ncccc1O	256012766	YCWGKFBXLAZHMS-UHFFFAOYSA-N	198.247	1.512	30	30	ADEC	
C#CCCCCN1CCN(C)CC1	39114216	GKAFMBVGVSYBKA-UHFFFAOYSA-N	180.295	1.037	30	30	ADEC	
C=CCCN1C(=O)CCC1=S	39124664	STLBFNYVRLKLDL-UHFFFAOYSA-N	169.249	1.512	30	30	ADEC	
N#C[C@]1(Cl)C(=O)[C@@H]2CCCC[C@@H]21	238556638	BGGSEUYQVPUNOA-BKPPORCPSA-N	183.638	1.877	30	30	ADEC	
N#C[C@H]1C[C@H]2C[C@H](C=O)[C@H]1C2	256780959	IAVFMULQJJBATH-KDXUFGMBSA-N	149.193	1.371	30	30	ADEC	
CCN(C[C@H]1CO1)c1ccccc1	5316580	VRCFZKKIBKCDQH-NSHDSACASA-N	177.247	1.912	30	30	ADEC	
CC1=CC[C@@H]2O[C@]2(C)C1	35962160	GDXKXYSWYRXFKJ-JGVFFNPUSA-N	124.183	1.884	30	30	ADEC	
N#CCC[C@H](O)C1CCCC1	39111627	RZZDHXZDTRJRDF-VIFPVBQESA-N	153.225	1.841	30	30	ADEC	
C=C(O)Cc1ccccn1	104528850	AFOUBUPLBCPSFH-UHFFFAOYSA-N	135.166	1.696	30	30	ADEC	
CC[C@@H](C=O)CC(C)=O	34128689	CIQUERDAZQQOHF-SSDOTTSWSA-N	128.171	1.191	30	30	ADEC	
C/C(Cc1cc(C)no1)=N\O	299803234	BZQGOWZZAOIMKA-VMPITWQZSA-N	154.169	1.376	30	30	ADEC	
CCCCCNCC#N	20039690	UYSWGJRTNAKZIE-UHFFFAOYSA-N	126.203	1.290	30	30	ADEC	
Cc1ccccc1NC(=O)C=NO	253534004	XLFBDBCQQNVKHU-UHFFFAOYSA-N	178.191	1.394	30	30	ADEC	
CC(CC(=O)c1ccncc1)=NO	255979756	IUTODWBSAVNRGS-UHFFFAOYSA-N	178.191	1.505	30	30	ADEC	
C#Cc1ccc(C(=O)OC)c(OC)c1	2265382646	BOXIXCGXSVYZHD-UHFFFAOYSA-N	190.198	1.463	30	30	ADEC	
CC(=O)[C@@H]1CC(CCC#N)=NO1	34617955	QEFKYCVKDHNHQP-QMMMGPOBSA-N	166.180	1.024	30	30	ADEC	
C[C@@H]1O[C@@]1(C)/C=C/[C@@H]1OC1(C)C	25624393	AJXYQJKBNYBUFD-SMZHBDBGSA-N	168.236	1.897	30	30	ADEC	
N#Cc1ccc(-c2ncc(N)cn2)cc1	32233491	ZUHYODFJXMGYJE-UHFFFAOYSA-N	196.213	1.597	30	30	ADEC	
